accountingservice,orders receive,188,98.85714285714286,98.85714285714286,99.125,99.22222222222223,99.2,98.7142857142857,99.16666666666666,99,99,99.07142857142857
adservice,flagd.evaluation.v1.Service/EventStream,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
adservice,flagd.evaluation.v1.Service/ResolveBoolean,20,7.66,548.0000000000036,31.999999999999936,6.620000000000009,5.760000000000002,487.99999999999625,154.99999999999991,35.60000000000009,5.460000000000001,524.0000000000018
adservice,getAdsByCategory,1.98,1.98,1.98,1.98,1.98,1.98,1.9800000000000002,1.98,1.9800000000000002,1.9800000000000002,1.98
adservice,getRandomAds,1.98,1.98,1.9800000000000002,1.98,1.98,1.98,1.9799999999999998,1.9799999999999998,1.98,1.98,1.9800000000000002
adservice,oteldemo.AdService/GetAds,1994,1994,4685,1994,4640,1994,4219.999999999999,1994,1994,4519.999999999998,4309.999999999996
adservice,resolve,20,7.66,548.0000000000036,31.999999999999936,7.310000000000004,5.760000000000002,487.99999999999625,154.99999999999991,35.60000000000009,5.6400000000000015,524.0000000000018
cartservice,EXPIRE,1.98,3.6199999999999974,2.980000000000002,6.739999999999998,5.120000000000003,1.98,8.62000000000001,1.98,9.299999999999997,3.4199999999999937,3.7399999999999998
cartservice,HGET,6.409090909090924,6.640000000000014,6.135000000000059,6.522857142857147,7.079999999999974,6.819999999999991,6.286666666666652,7.105454545454547,6.560000000000006,6.588888888888881,5.78260869565215
cartservice,HMSET,3.1599999999999966,4.859999999999989,5.660000000000002,4.739999999999998,3.120000000000003,3.3200000000000007,5.31,5.619999999999999,3.6499999999999986,5.419999999999994,6.959999999999999
cartservice,POST,5.739999999999998,3.92,5.739999999999998,5.719999999999999,1.98,1.98,1.9799999999999998,5.799999999999999,1.98,1.98,1.98
cartservice,POST /oteldemo.CartService/AddItem,9.279999999999998,32.80000000000007,37.20000000000012,26,35.59999999999988,7.579999999999998,46.466666666666654,9.439999999999996,41.60000000000002,9.599999999999998,34.8
cartservice,POST /oteldemo.CartService/EmptyCart,44.799999999999976,9.68,7.869999999999999,47.19999999999999,9.719999999999999,5.859999999999999,7.639999999999997,45.99999999999997,47.599999999999994,5.879999999999999,5.74
cartservice,POST /oteldemo.CartService/GetCart,24.506666666666774,25.22499999999969,28.019999999999705,35.561290322580504,35.11111111111113,26.366666666666738,26.479999999999926,32.67999999999991,34.3666666666666,23.766666666666357,10.266666666666717
cartservice,flagd.evaluation.v1.Service/ResolveBoolean,7.739999999999998,3.92,5.739999999999998,5.719999999999999,1.98,1.98,1.9799999999999998,5.799999999999999,1.98,1.98,3.7399999999999998
checkoutservice,HTTP POST,45.2,43.59999999999998,43.199999999999946,9.719999999999999,9.719999999999999,7.82,7.879999999999999,9.799999999999999,5.965,7.92,9.7
checkoutservice,orders publish,5.88,7.679999999999999,9.659999999999997,5.719999999999999,3.8599999999999994,7.82,5.879999999999999,3.7999999999999985,3.8600000000000003,1.98,3.8999999999999995
checkoutservice,oteldemo.CartService/EmptyCart,45.2,43.59999999999998,43.199999999999946,48.13333333333333,44.399999999999984,5.91,9.639999999999997,45.99999999999997,47.2,7.839999999999999,5.85
checkoutservice,oteldemo.CartService/GetCart,3.94,9.68,7.6599999999999975,9.719999999999999,44.399999999999984,1.98,7.639999999999997,3.8999999999999995,1.98,3.839999999999999,5.85
checkoutservice,oteldemo.CheckoutService/PlaceOrder,97,97.33333333333331,95.74999999999997,98.25,49.6,49.6,95.49999999999997,49.599999999999994,49.6,95.99999999999997,49.6
checkoutservice,oteldemo.CurrencyService/Convert,35.59999999999994,30.8,7.510000000000001,30.399999999999807,7.260000000000003,7.499999999999995,26.800000000000047,7.3799999999999955,3.9555555555555553,7.519999999999999,7.1
checkoutservice,oteldemo.PaymentService/Charge,3.98,3.98,5.829999999999998,3.98,3.98,5.82,3.9799999999999995,3.9799999999999995,5.86,9.84,3.98
checkoutservice,oteldemo.ProductCatalogService/GetProduct,3.5200000000000014,1.98,5.360000000000006,5.300000000000003,1.98,1.98,1.9800000000000002,1.98,1.9799999999999998,43.59999999999998,3.3999999999999972
checkoutservice,oteldemo.ShippingService/GetQuote,9.879999999999999,9.68,7.6599999999999975,5.859999999999999,7.719999999999999,3.98,5.879999999999999,5.8999999999999995,3.98,7.839999999999999,5.85
checkoutservice,oteldemo.ShippingService/ShipOrder,1.98,1.98,3.8299999999999987,1.98,1.98,1.98,1.9799999999999998,1.9799999999999998,1.98,1.98,1.98
checkoutservice,prepareOrderItemsAndShippingQuoteFromCart,49.46666666666667,49.418181818181814,49.43333333333333,49.56923076923077,49.37777777777778,49.400000000000006,90.99999999999993,49.42857142857142,49.300000000000004,49.36,49.39999999999999
currencyservice,CurrencyService/Convert,34.599999999999994,9.991111111111115,35.14782608695651,36.031999999999975,37.806896551724165,38.71578947368407,31.560000000000088,32.424999999999976,36.70769230769231,22.799999999999848,23.999999999999805
currencyservice,CurrencyService/GetSupportedCurrencies,6.726666666666669,6.670000000000016,5.744705882352943,5.7349999999999985,6.445000000000003,6.840000000000007,6.268000000000009,9.639999999999935,8.62000000000002,6.700000000000013,7.210000000000012
emailservice,POST /send_order_confirmation,9.739999999999998,7.679999999999999,43.199999999999946,7.719999999999999,7.699999999999998,5.799999999999998,5.8199999999999985,5.799999999999999,3.9800000000000004,5.859999999999999,5.9399999999999995
emailservice,send_email,3.9674999999999994,3.9709090909090907,43.199999999999946,5.719999999999999,5.699999999999998,3.8999999999999995,3.9485714285714284,3.9499999999999997,3.955,5.859999999999999,5.85
