accountingservice,orders receive,75,47.99999999999999,42.999999999999986,77.49999999999999,44.39999999999999,NaN,38,46,88.75,85,87.5,70.00000000000001,89.99999999999997
adservice,flagd.evaluation.v1.Service/EventStream,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
adservice,flagd.evaluation.v1.Service/ResolveBoolean,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
adservice,getAdsByCategory,1.8999999999999997,1.9,1.9,1.9,1.9,1.9,1.8999999999999997,1.9,1.9,1.9,1.9,1.9,1.9
adservice,getRandomAds,1.9,1.8999999999999997,1.9,1.9,1.8999999999999997,1.8999999999999997,1.9,1.8999999999999997,NaN,1.9,1.9,1.9,1.8999999999999997
adservice,oteldemo.AdService/GetAds,4250,1970,4100,1970,1970,1970,1970,1970,3949.999999999998,4175,3800.000000000001,1970,1970
adservice,resolve,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cartservice,EXPIRE,1.9000000000000001,1.8999999999999997,1.9,6.149999999999996,1.9844444444444445,1.9,1.9,1.9,1.963333333333333,1.9000000000000001,1.9,4,2.833333333333334
cartservice,HGET,3.2,1.9879629629629627,1.9817204301075269,3.6,1.9926829268292685,1.966279069767442,1.9376237623762373,3.39,2.583333333333331,1.952054794520548,1.9463414634146339,1.988785046728972,2.3833333333333306
cartservice,HMSET,1.9575757575757573,1.951351351351351,1.9,4.149999999999996,3.5500000000000007,1.9,1.9,1.976,1.9,1.9000000000000001,1.9,4,1.9558823529411766
cartservice,POST,3,1.8999999999999997,NaN,31.99999999999999,3.299999999999999,NaN,3.4,3.4,3.8499999999999996,3.4000000000000004,3.5,6.800000000000001,3.8
cartservice,POST /oteldemo.CartService/AddItem,9.800000000000002,12.999999999999936,11.999999999999913,9.033333333333333,8.35,33.333333333333314,6.599999999999997,9.299999999999999,5.799999999999995,34.000000000000014,3.924999999999999,21.999999999999947,9.299999999999997
cartservice,POST /oteldemo.CartService/EmptyCart,9,3.8999999999999995,NaN,43.99999999999999,7.72,NaN,5.4,7.4,5.7749999999999995,9.4,7.5,43.99999999999999,9.799999999999999
cartservice,POST /oteldemo.CartService/GetCart,21.999999999999936,6.0499999999999945,11.499999999999968,24.285714285714242,7.099999999999995,8.499999999999998,6.600000000000004,25.71428571428573,7.900000000000011,7.9666666666666615,8.850000000000005,28.99999999999998,7.379999999999999
cartservice,flagd.evaluation.v1.Service/ResolveBoolean,3.5,1.8999999999999997,NaN,31.99999999999999,3.5333333333333328,NaN,3.4,3.6999999999999997,3.8499999999999996,3.7,3.666666666666667,6.800000000000001,3.8
checkoutservice,HTTP POST,43.333333333333336,5.8999999999999995,NaN,43.99999999999999,45.33333333333333,NaN,46.99999999999999,7.4,40.99999999999999,7.85,40,70.00000000000001,41.99999999999998
checkoutservice,orders publish,1.9,1.8999999999999997,NaN,1.9,2.5999999999999974,NaN,1.9,1.9,1.9,1.9,1.9,4.800000000000001,3.199999999999998
checkoutservice,oteldemo.CartService/EmptyCart,9.5,3.8999999999999995,NaN,43.99999999999999,9.533333333333333,NaN,5.699999999999999,7.4,7.7749999999999995,9.4,7.666666666666667,43.99999999999999,41.99999999999998
checkoutservice,oteldemo.CartService/GetCart,1.9,3.0999999999999988,1.9,1.9,1.9,1.9,3.4,3.4,1.9,1.9,3.65,1.9,5.299999999999999
checkoutservice,oteldemo.CheckoutService/PlaceOrder,15000,15000,NaN,15000,15000,NaN,15000,15000,15000,15000,15000,15000,15000
checkoutservice,oteldemo.CurrencyService/Convert,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
checkoutservice,oteldemo.PaymentService/Charge,3.833333333333333,1.8999999999999997,NaN,5.1,4.599999999999997,NaN,5.4,3.4,5.099999999999999,3.4000000000000004,3.833333333333333,7.4,5.1999999999999975
checkoutservice,oteldemo.ProductCatalogService/GetProduct,1.9,1.9,1.9,1.9,3.7999999999999954,1.9,1.9,1.9,1.9,4.8999999999999995,1.9000000000000001,2,4.499999999999998
checkoutservice,oteldemo.ShippingService/GetQuote,15000,NaN,NaN,40.99999999999999,15000,NaN,4100,1820,15000,15000,15000,15000,9.299999999999999
checkoutservice,oteldemo.ShippingService/ShipOrder,1.9,1.8999999999999997,NaN,1.9,2.5999999999999974,NaN,1.9,5.4,1.9,1.9,3.5,1.9,1.8999999999999997
checkoutservice,prepareOrderItemsAndShippingQuoteFromCart,15000,15000,NaN,15000,15000,NaN,15000,15000,15000,15000,15000,15000,15000
currencyservice,CurrencyService/Convert,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
currencyservice,CurrencyService/GetSupportedCurrencies,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
emailservice,POST /send_order_confirmation,5.75,3.8999999999999995,NaN,31.99999999999999,8.599999999999998,NaN,38,5.699999999999999,5.099999999999999,5.88,3.9,43.99999999999999,9.199999999999998
emailservice,send_email,5,1.8999999999999997,NaN,31.99999999999999,5.299999999999999,NaN,38,3.8499999999999996,3.82,3.88,3.833333333333333,26.000000000000014,3.8857142857142852
emailservice,sinatra.render_template,3,1.8999999999999997,NaN,3.0999999999999996,1.9,NaN,1.9,1.9,1.9,1.9,1.9,1.9,1.8999999999999997
flagd,GET /,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
