accountingservice,64.29717500000001,47.3901625,35.49495624999997,53.32383571428574,52.69277857142859,57.61890000000005,48.788466666666714,55.51351999999997,52.117866666666636,47.94934999999987,53.771899999999725
adservice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cartservice,16.368379966666737,14.242699975184223,14.526457262089709,15.430903109699985,12.217679277660528,11.314446648515476,13.13638885754586,15.524512397193504,13.803896416918631,11.91748512452246,12.98703319426938
checkoutservice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
currencyservice,4.8624238819211865,4.570222616374924,4.494954957867871,4.618707667114242,4.983886357562447,4.68423941513246,4.577852084949334,4.74824641533137,4.614085267285759,4.464970048377122,4.2766185155729435
emailservice,6.225946884615384,6.523387937499992,7.855050941176464,7.139447571428572,6.587860266666666,5.282814400000011,5.627145611111112,5.458887250000021,5.247443166666683,5.821693214285716,6.599074400000011
flagd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
frauddetectionservice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
frontend,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
frontend-web,610.4020825314734,539.522610512495,522.2598967037496,582.9657422080626,645.0363902213857,629.1605801170515,583.9394171681207,694.2059826920912,683.1592442168401,588.4784308354069,520.9619159133115
frontendproxy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageprovider,0.0014845605700712589,0,0,0,0,0,0,0,0,0,0
loadgenerator,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
paymentservice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
productcatalogservice,0.3894796736037318,0.3625588006288222,0.3524123800218033,0.3738575781057887,0.38078746137751196,0.37997742692297737,0.38991310440838234,0.3782329556360775,0.37397113114979796,0.35819164253055147,0.35922044396389563
quoteservice,0.7498847692307687,0.7387641249999986,0.7282963125000004,0.6880189285714281,0.6968297142857138,0.7116850000000008,0.7036414444444462,0.7570216000000013,0.6812734999999969,0.664673833333333,0.7092417857142866
recommendationservice,NaN,NaN,NaN,NaN,NaN,16.882079868546363,NaN,NaN,NaN,NaN,NaN
shippingservice,7.571406416666667,5.657608066666664,6.4431666923076945,5.1068775714285675,5.2836089285714305,4.854158000000009,5.407127588235283,5.212322200000002,4.960439428571412,5.802251333333369,5.344377500000006
