accountingservice,75,47.99999999999999,42.999999999999986,77.49999999999999,44.39999999999999,NaN,38,46,88.75,85,87.5,70.00000000000001,89.99999999999997
adservice,3424.999999999998,1937.2727272727273,3200.000000000001,1934,1934,1933.3333333333333,1937,1935,2974.9999999999977,3199.999999999999,2300.000000000001,1934.5454545454545,1936.25
cartservice,8.066666666666665,3.968181818181818,5.849999999999994,7.822222222222223,5.24,7.059999999999993,4.7749999999999995,7.71666666666666,3.9259999999999993,4.899999999999983,4.199999999999996,9.14285714285715,5.94705882352941
checkoutservice,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
currencyservice,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
emailservice,5.200000000000001,3.5999999999999988,NaN,13.999999999999973,5.733333333333332,NaN,25.999999999999975,4.799999999999999,3.8769230769230774,5.52,3.75,30.79999999999999,3.914285714285714
flagd,1054.9999999999998,1.9949999999999999,1203.076923076922,1.9974358974358972,1.9904761904761903,1.9981220657276995,1140.0000000000002,1083.636363636361,1029.0909090909079,1.9840136054421769,1.9710884353741498,1073.3333333333333,1181.6666666666647
frauddetectionservice,3.75,1.9,NaN,9.1,3.1599999999999984,NaN,3.55,3.742857142857143,3.3249999999999993,7.640000000000001,3.727272727272727,3.4,3.815384615384615
frontend,44.80351114112084,41.92022263450836,41.00671140939599,44.11963406052073,48.54999999999996,42.738693467336645,42.129577464788724,42.04077573346592,43.566037735849,42.89886425094644,45.436415018167146,48.15782493368698,42.969026548672545
frontend-web,15000,15000,7750.000000000173,15000,13283.333333333338,15000,15000,739.9999999999991,15000,15000,15000,15000,15000
frontendproxy,58.24561403508774,48.84073107049607,48.754244861483464,49.54118616144975,71.335616438356,49.04380103934669,48.95641838351822,48.3410896708286,48.251968503937,48.73302611367127,61.62990196078446,65.52325581395371,48.88070294018249
imageprovider,1.9,1.8999999999999997,1.9,1.8999999999999997,1.9,1.8999999999999997,1.8999999999999997,1.9,1.9000000000000001,1.9,1.9,1.9,1.9
loadgenerator,49.61942857142857,49.11708253358925,48.937583001328015,48.94325808419767,49.6023102310231,49.31202789076118,49.39202855443189,48.745420560747654,48.751915144372425,48.95684803001876,62.82500000000016,49.90954773869347,48.81943081452405
paymentservice,3,1.8999999999999997,NaN,1.9,1.9,NaN,1.9,1.9,2.199999999999998,1.9,1.9,1.982608695652174,1.8999999999999997
productcatalogservice,1.906785714285714,1.9,1.9000000000000001,1.9,1.919322033898305,1.9,1.931799163179916,1.9271428571428568,1.9136200716845877,1.9074218749999998,1.9,1.9,1.906985294117647
quoteservice,1.9000000000000001,NaN,1.9,1.9,1.9,NaN,1.8999999999999997,1.9,1.9,1.9000000000000001,2.4999999999999982,1.9,1.9
recommendationservice,5.979999999999999,7.3999999999999995,5.452631578947367,5.999999999999998,6.666666666666667,5.527272727272727,5.946666666666665,5.739130434782609,6.400000000000006,5.4399999999999995,5.98095238095238,5.971428571428571,9.399999999999988
shippingservice,15000,1.8999999999999997,NaN,31.99999999999999,15000,NaN,3650.000000000001,1730.0000000000002,15000,15000,15000,15000,8.899999999999999
